bigram,tf_idf
québec lévis,0.15170258729429673
jdq https,0.06316350040567366
j’ai publié,0.04837240591426869
vente de,0.047231016322633754
village vacances,0.04268975423374178
vacances valcartier,0.04080851082683112
rcqc http,0.037111028338418145
i'm at,0.03557221045374748
de quartier,0.029376601288378427
publié une,0.02895835776390537
départ de,0.027783304686411738
nouvelle photo,0.02726688274150436
la rentrée,0.026449042068108556
dans l’album,0.025015365858837593
rcqc https,0.02458796527771737
photo sur,0.024115139852105894
facebook dans,0.023791694229119014
liste de,0.022407346868161787
assnat polqc,0.02215644089222026
in 5,0.02184685247528416
nouvelle france,0.021130610114083872
nous suivre,0.0210273799633298
today in,0.020467670101362932
vidéo à,0.02038393814120425
au village,0.019136188461220123
les remparts,0.01902035408470075
au marché,0.01862226528089725
quartier de,0.018304320678362344
photos sur,0.01790049496852569
in ottawa,0.017610911432559634
au cercle,0.017565854581164782
les trois,0.016962134578938255
conseil de,0.016908407847668967
de rabais,0.016891695084630197
ha ha,0.016356651414623016
retour à,0.016218787514294022
facebook http,0.0159999433930725
au congrès,0.015872946789586832
sur facebook,0.01572414460512111
vie en,0.015370913323006842
game of,0.015312560975906723
me suivre,0.015030382879108727
québec solidaire,0.015008221191119844
gt gt,0.014767727894734168
fêtes de,0.014764796386401552
i posted,0.014224625998170308
plus long,0.01417431498508817
la radio,0.013733576232722837
to facebook,0.013358811002485463
québec qc,0.013318936854762067
qu'à la,0.013284977600321515
aujourd'hui à,0.013277032454953304
qc https,0.012883822475002797
qc http,0.012847316966293569
you a,0.012648616451006789
quebec city,0.012645507542377738
souper de,0.012441420087906684
please rt,0.012376360851221846
une vidéo,0.012072662512836372
ontario https,0.012055121064565267
l assnat,0.011911504653328351
rt svp,0.0117702666409215
du congrès,0.011290353877184444
la caq,0.010957885271239042
http t.co,0.01090316128793007
rt sureteduquebec,0.010643211143123709
rt guglielminetti,0.010611003039336386
polcan polqc,0.010503871746999328
route vers,0.010317056548387108
du village,0.010118406124382391
y voir,0.010071159365927887
tard pour,0.009900461749556227
in quebec,0.00988284391897211
rt rougeetor,0.00978073734530997
